Brand,Product Name,Current Price,Original Price,Shipping,Link
MSI,MSI Gaming GeForce RTX 3080 LHR 10GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3080 Ventus 3X Plus 10G OC LHR),"$1,727.00","$2,006.86",Get it by ,https://www.amazon.ca/MSI-RTX-3080-LHR-10G/dp/B09FSWGS7L
ZOTAC,"ZOTAC Gaming GeForce RTX™ 3080 Trinity OC LHR 10GB GDDR6X 320-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30800J-10PLHR","$1,549.99","$1,899.99",Get it ,https://www.amazon.ca/Graphics-IceStorm-Advanced-Lighting-ZT-A30800J-10PLHR/dp/B099ZCG8T5
ASUS,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0, 10GB GDDR6X, LHR, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)","$1,899.00","$2,247.11",Get it ,https://www.amazon.ca/Graphics-DisplayPort-Bearings-Military-Grade-Certification/dp/B099ZC8H3G
MSI,MSI GeForce RTX 3080 Ventus 3X 10G OC LHR 10GB GDDR6X - 1740 MHz - DisplayPort x 3 (v1.4a) / HDMI x 1 (RTX 3080 Ventus 3X 10G OC LHR),"$1,697.00",,Get it ,https://www.amazon.ca/MSI-GeForce-RTX-3080-10G/dp/B0987CCX66
GIGABYTE,"GIGABYTE GeForce RTX 3080 Gaming OC 10G (REV2.0) Graphics Card, 3X WINDFORCE Fans, LHR, 10GB 320-bit GDDR6X, GV-N3080GAMING OC-10GD REV2.0 Video Card","$2,110.00",,Get it ,https://www.amazon.ca/GIGABYTE-GeForce-Graphics-WINDFORCE-GV-N3080GAMING/dp/B098TZ3RMZ
MSI,MSI GeForce RTX 3080 Gaming Z Trio 10G LHR 10GB GDDR6X - 1830 MHz - DisplayPort x 3 (v1.4a) / HDMI x 1 (RTX 3080 Gaming Z Trio 10G LHR),"$2,029.98",,Get it ,https://www.amazon.ca/MSI-GeForce-RTX-3080-10G/dp/B0995S7548
EVGA,"EVGA GeForce RTX 3080 12GB GDDR6X XC3 Black Gaming, 12G-P5-4861-KL, LHR","$1,896.97",,Get it ,https://www.amazon.ca/EVGA-GeForce-GDDR6X-Gaming-12G-P5-4861-KL/dp/B09QL5QNY9
ASUS,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Graphics Card (PCIe 4.0, 12GB GDDR6X, LHR, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak)","$1,949.00","$2,041.14",Get it ,https://www.amazon.ca/Graphics-DisplayPort-Bearings-Military-Grade-Certification/dp/B09QH85MZ4
GIGABYTE,"GIGABYTE GeForce RTX 3080 Ti Gaming OC 12G Graphics Card, 3X WINDFORCE Fans, 12GB 384-Bit GDDR6X, GV-N308TGAMING OC-12GD Video Card","$2,133.49","$2,599.99",Lowest price in 30 days,https://www.amazon.ca/GIGABYTE-Graphics-WINDFORCE-GV-N308TGAMING-OC-12GD/dp/B083HZGMWZ
ASUS,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 Ti OC Edition Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",,,,https://www.amazon.ca/Graphics-DisplayPort-Bearings-Military-Grade-Certification/dp/B096L3GLYS
EVGA,"EVGA GeForce RTX 3080 XC3 Ultra Gaming, 10G-P5-3885-KL, 10GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate, LHR","$2,263.64",,Get it by ,https://www.amazon.ca/EVGA-GeForce-10G-P5-3885-KL-Cooling-Backplate/dp/B097S5SQ3Z
ZOTAC,"ZOTAC Gaming GeForce RTX™ 3080 Ti Trinity OC 12GB GDDR6X 384-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30810J-10P","$1,998.99","$2,380.39",Get it ,https://www.amazon.ca/Graphics-IceStorm-Advanced-Lighting-ZT-A30810J-10P/dp/B097DTK1F6
EVGA,"EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming, 12G-P5-3967-KR, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",,,,https://www.amazon.ca/EVGA-GeForce-12G-P5-3967-KR-Technology-Backplate/dp/B09622N253
MSI,MSI GeForce RTX 3080 Ti Ventus 3X 12G OC GDDR6X - 1695 MHz DisplayPort x 3 (v1.4a) / HDMI 2.1 x 1 - RTX 3080 Ti Ventus 3X 12G OC,"$1,949.95","$2,059.99",Get it ,https://www.amazon.ca/MSI-GeForce-RTX-3080-12G/dp/B095W3S3LF
ASUS,"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC Edition Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)","$1,129.99","$1,187.99",FREE Shipping by Amazon,https://www.amazon.ca/Graphics-DisplayPort-Bearings-Military-Grade-Certification/dp/B096YPLGHG
MSI,"MSI GeForce RTX 3070 Ti Ventus 3X 8G OC, GDDR6X, 1800 MHz PCI Express 4.0, 256-Bit, 1 x HDMI 2.1, 3 x DP 1.4a, 8-pin x2","$1,294.99",,Get it ,https://www.amazon.ca/MSI-GeForce-RTX-3070-Ti/dp/B096HQC9Y5
MSI,MSI GeForce RTX 3060 Ti Ventus 2X 8G OCV1 LHR GDDR6 1695 MHz Boost 14 Gbps 256-bit 3xDP1.4 HDMI PCIE4.0 (RTX 3060 Ti Ventus 2X 8G OCV1 LHR),$965.99,,Get it ,https://www.amazon.ca/MSI-GeForce-RTX-3060-OCV1/dp/B099N59B14
EVGA,"EVGA GeForce RTX 3080 Ti XC3 Ultra Gaming, 12G-P5-3955-KR, 12GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate","$2,099.99","$2,455.56",Get it ,https://www.amazon.ca/EVGA-GeForce-12G-P5-3955-KR-Cooling-Backplate/dp/B0979GYMHP
