Brand,Product Name,Current Price,Original Price,Shipping,Link
GIGABYTE,"GIGABYTE GeForce RTX 3080 GAMING OC 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 384-bit GDDR6X, GV-N3080GAMING OC-12GD Video Card","$2,045.00",,Free Shipping,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080gaming-oc-12gd/p/N82E16814932489?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-932-489-_-Product
ASUS,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0, 10GB GDDR6X, LHR, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-grade Certification, GPU Tweak II)","$1,774.99","$2,073.99",Free Shipping,https://www.newegg.ca/asus-geforce-rtx-3080-tuf-rtx3080-o10g-v2-gaming/p/N82E16814126525?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-126-525-_-Product
GIGABYTE,GIGABYTE AORUS GeForce RTX 3070 MASTER 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070AORUS M-8GD (rev. 2.0) (LHR),"$1,298.89","$1,420.01",$49.99 Shipping,https://www.newegg.ca/gigabyte-geforce-rtx-3070-gv-n3070aorus-m-8gd/p/N82E16814932466?Item=9SIAPBWFVU1082&Description=graphics card 3080&cm_re=graphics_card 3080-_-9SIAPBWFVU1082-_-Product&cm_sp=SP-_-768987-_-0-_-3-_-9SIAPBWFVU1082-_-graphics card 3080-_-3080|card|graphic-_-3
ASUS,ASUS ROG STRIX GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 x16 ATX Video Card ROG-STRIX-RTX3080-O10G-WHITE-V2 (LHR),"$2,110.00","$2,425.99",$49.99 Shipping,https://www.newegg.ca/asus-geforce-rtx-3080-rtx3080-o10g-wht-v2/p/N82E16814126533?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-126-533-_-Product
MSI,MSI Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 GAMING Z TRIO 10G LHR,"$1,849.09","$1,979.99",Free Shipping,https://www.newegg.ca/msi-geforce-rtx-3080-rtx-3080-gaming-z-trio-10g-lhr/p/N82E16814137677?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-137-677-_-Product
MSI,MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X PLUS 10G OC LHR,"$1,578.89",,$49.99 Shipping,https://www.newegg.ca/msi-geforce-rtx-3080-rtx-3080-ventus-3x-plus-10g-oc-lhr/p/N82E16814137686?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-137-686-_-Product
GIGABYTE,GIGABYTE Vision OC GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080VISION OC-10GD (rev. 2.0) (LHR),"$1,829.99",,Free Shipping,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080vision-oc-10gd/p/N82E16814932460?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-932-460-_-Product
GIGABYTE,GIGABYTE Vision GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TVISION OC-12GD,"$2,444.98",,Free Shipping,https://www.newegg.ca/gigabyte-geforce-rtx-3080-ti-gv-n308tvision-oc-12gd/p/N82E16814932437?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-932-437-_-Product
MSI,MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X 10G OC LHR,"$1,610.00",,Free Shipping,https://www.newegg.ca/msi-geforce-rtx-3080-rtx-3080-ventus-3x-10g-oc-lhr/p/N82E16814137678?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-137-678-_-Product
ASUS,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Graphics Card (PCIe 4.0, 12GB GDDR6X, LHR, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-grade Certification, GPU Tweak)","$2,005.25",,$49.99 Shipping,https://www.newegg.ca/asus-geforce-rtx-3080-tuf-rtx3080-o12g-gaming/p/N82E16814126551?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-126-551-_-Product
GIGABYTE,"GIGABYTE Geforce RTX 2060 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR, GV-N2060D6-6GD Video Card",$735.00,$798.00,Free Shipping,https://www.newegg.ca/p/1FT-000A-001Y3?Item=9SIARB1EZ33660&Description=graphics card 3080&cm_re=graphics_card 3080-_-9SIARB1EZ33660-_-Product&cm_sp=SP-_-634961-_-0-_-3-_-9SIARB1EZ33660-_-graphics card 3080-_-3080|card|graphic-_-11
EVGA,"EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING Video Card, 12G-P5-3967-KR, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate","$1,899.99","$1,999.99",$10.61 Shipping,https://www.newegg.ca/evga-geforce-rtx-3080-ti-12g-p5-3967-kr/p/N82E16814487547?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-487-547-_-Product
EVGA,EVGA GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card 12G-P5-4877-KL,"$1,749.99",,$10.61 Shipping,https://www.newegg.ca/evga-geforce-rtx-3080-12g-p5-4877-kl/p/N82E16814487553?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-487-553-_-Product
ZOTAC,ZOTAC TRINITY OC LHR GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card ZT-A30800J-10PLHR,"$1,589.99","$1,789.99",$9.99 Shipping,https://www.newegg.ca/zotac-geforce-rtx-3080-zt-a30800j-10plhr/p/N82E16814500520?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-500-520-_-Product
ZOTAC,ZOTAC AMP Extreme Holo GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card ZT-A30810B-10P,"$2,599.99",,Free Shipping,https://www.newegg.ca/zotac-geforce-rtx-3080-ti-zt-a30810b-10p/p/N82E16814500527?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-500-527-_-Product
ZOTAC,ZOTAC AMP Holo GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card ZT-A30810F-10P,"$2,099.99","$2,299.99",$10.95 Shipping,https://www.newegg.ca/zotac-zt-a30810f-10p/p/N82E16814500515?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-500-515-_-Product
GIGABYTE,GIGABYTE AORUS GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUS M-12GD,"$2,166.77",,$49.99 Shipping,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorus-m-12gd/p/N82E16814932505?Description=graphics card 3080&cm_re=graphics_card 3080-_-9SIAPBWH1N6080-_-Product
GIGABYTE,GIGABYTE AORUS GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUSX W-12GD,"$2,672.75",,$49.99 Shipping,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorusx-w-12gd/p/N82E16814932503?Description=graphics card 3080&cm_re=graphics_card 3080-_-9SIAPBWH1N6082-_-Product
GIGABYTE,GIGABYTE AORUS GeForce RTX 3080 MASTER 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUS M-10GD (rev. 3.0) (LHR),"$1,999.89","$2,149.99",Free Shipping,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorus-m-10gd/p/N82E16814932458?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-932-458-_-Product
GIGABYTE,GIGABYTE Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TGAMING OC-12GD,"$1,999.99","$2,099.99",$10.61 Shipping,https://www.newegg.ca/gigabyte-geforce-rtx-3080-ti-gv-n308tgaming-oc-12gd/p/N82E16814932436?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-932-436-_-Product
ASUS,ASUS TUF Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card TUF-RTX3080TI-O12G-GAMING,"$2,049.99","$2,299.99",$9.99 Shipping,https://www.newegg.ca/asus-geforce-rtx-3080-ti-tuf-rtx3080ti-o12g-gaming/p/N82E16814126509?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-126-509-_-Product
GIGABYTE,GIGABYTE Eagle GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TEAGLE-12GD,"$2,987.48",,Free Shipping,https://www.newegg.ca/gigabyte-geforce-rtx-3080-ti-gv-n308teagle-12gd/p/N82E16814932439?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-932-439-_-Product
ASUS,ASUS ROG Strix GeForce RTX 3080 V2 OC Edition 10GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3080-O10G-V2-GAMING (LHR),"$2,051.59","$2,051.89",Free Shipping,https://www.newegg.ca/asus-geforce-rtx-3080-strix-rtx3080-o10g-v2-gaming/p/N82E16814126534?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-126-534-_-Product
MSI,MSI Ventus GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X PLUS 12G OC LHR,"$1,699.99",,$31.12 Shipping,https://www.newegg.ca/msi-geforce-rtx-3080-rtx-3080-ventus-3x-plus-12g-oc-lhr/p/N82E16814137712?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-137-712-_-Product
ASUS,"ASUS ROG Strix NVIDIA GeForce RTX 3080 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, ASUS Auto-Extreme Technology)","$2,499.99",,$9.99 Shipping,https://www.newegg.ca/asus-geforce-rtx-3080-ti-rog-strix-rtx3080ti-o12g-gaming/p/N82E16814126508?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-126-508-_-Product
MSI,MSI Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 3080 Ti Gaming X Trio 12G,"$2,148.99",,Free Shipping,https://www.newegg.ca/msi-geforce-rtx-3080-ti-rtx-3080-ti-gaming-x-trio-12g/p/N82E16814137650?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-137-650-_-Product
GIGABYTE,GIGABYTE Eagle GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TEAGLE OC-12GD,"$2,623.55",,$49.99 Shipping,https://www.newegg.ca/gigabyte-geforce-rtx-3080-ti-gv-n308teagle-oc-12gd/p/N82E16814932438?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-932-438-_-Product
MSI,MSI Gaming GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 GAMING Z TRIO 12G LHR,"$1,899.99",,$31.68 Shipping,https://www.newegg.ca/msi-geforce-rtx-3080-rtx-3080-gaming-z-trio-12g-lhr/p/N82E16814137711?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-137-711-_-Product
GIGABYTE,"GIGABYTE GeForce RTX 3080 EAGLE 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 384-bit GDDR6X, GV-N3080EAGLE-12GD Video Card","$2,426.80",,$49.99 Shipping,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080eagle-12gd/p/N82E16814932490?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-932-490-_-Product
GIGABYTE,GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TAORUS M-12GD,"$2,649.99",,Free Shipping,https://www.newegg.ca/gigabyte-geforce-rtx-3080-ti-gv-n308taorus-m-12gd/p/N82E16814932435?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-932-435-_-Product
MSI,MSI Suprim GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 Ti SUPRIM X 12G,"$2,858.00",,$49.99 Shipping,https://www.newegg.ca/msi-geforce-rtx-3080-ti-suprim-x-12g/p/N82E16814137660?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-137-660-_-Product
ASUS,ASUS ROG STRIX GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-LC-RTX3080TI-O12G-GAMING,"$2,599.99",,$11.67 Shipping,https://www.newegg.ca/asus-geforce-rtx-3080-ti-rog-strix-lc-rtx3080ti-o12g-gaming/p/N82E16814126517?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-126-517-_-Product
MSI,MSI Suprim GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 SUPRIM X 10G LHR,"$2,071.50",,Free Shipping,https://www.newegg.ca/msi-geforce-rtx-3080-rtx-3080-suprim-x-10g-lhr/p/N82E16814137676?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-137-676-_-Product
ASUS,ASUS ROG Strix GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3080-O10G-V2-GAMING LHR,"$2,212.99",,Free Shipping,https://www.newegg.ca/p/1FT-000Y-00669?Description=graphics card 3080&cm_re=graphics_card 3080-_-1FT-000Y-00669-_-Product
GIGABYTE,GIGABYTE Gaming OC GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080GAMING OC-10GD (rev. 2.0) (LHR),"$1,667.00","$1,700.00",$49.99 Shipping,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080gaming-oc-10gd/p/N82E16814932459?Description=graphics card 3080&cm_re=graphics_card 3080-_-14-932-459-_-Product
